2002.000000 / 5.000000 / 22.000000 --  21.000000 : 55.000000 : 25.054000 
d_mean_LS =================================== 
3.885304  3.874364  3.889624
3.890908  3.912540  3.905293
3.909007  3.938173  3.960577
3.906757  3.871558  3.851696
3.781761  d_mean_TLS =================================== 
113.152016  194.136307  156.746117
98.155330  209.772472  130.696416
163.429573  139.227353  358.170115
143.867034  1186.018561  296.198025
409.249016  d_mean_MLS =================================== 
174.998446  35.333836 45.693001
69.446504  43.421465 58.269249
32.205665  41.911285 27.657189
28.520009  42.451930 19.023388
26.664025  d_std_LS =================================== 
1.757760  1.746578  1.780179
1.728058  1.768574  1.767364
1.820823  1.815916  1.854499
1.867546  1.856558  1.894117
1.910137  d_std_TLS =================================== 
1704.612857  7055.158687  3470.005101
718.181656  5113.500939  2657.343218
3373.528145  1067.950362  13596.827053
1004.632562  93639.956414  8977.154948
23547.388947  d_std_MLS =================================== 
12822.280862  393.371069 812.541130
1733.899976  544.233491 2067.083874
376.868354  574.222638 332.134808
573.543904  1925.724141 225.524535
1435.566099  BER_MF1 ===================================== 
0.021900  0.026600 0.036800
0.055700  0.077100 0.119500
0.229700  0.346400 0.427900
0.477900  0.494800 0.502200
0.513100  BER_DD1 ===================================== 
0.070000  0.071400 0.070400
0.069400  0.068000 0.068000
0.069400  0.074300 0.068400
0.066200  0.069200 0.073700
0.073300  BER_MF ====================================== 
0.024425  0.027425 0.036750
0.054075  0.079700 0.114025
0.226600  0.344000 0.432050
0.476875  0.495800 0.495900
0.501950  BER_DD ====================================== 
0.070950  0.071525 0.071875
0.070300  0.068725 0.071375
0.070000  0.072725 0.070925
0.069900  0.070175 0.071275
0.072200  BER_LS ====================================== 
0.028275  0.030900 0.040400
0.057625  0.079625 0.104325
0.166150  0.210425 0.239800
0.252975  0.261500 0.258600
0.261775  BER_TLS ===================================== 
0.241750  0.237975 0.246125
0.251400  0.262750 0.269500
0.286025  0.296525 0.304975
0.308600  0.313525 0.310225
0.314325  BER_MLS ===================================== 
0.271200  0.275200 0.285325
0.305950  0.314050 0.319225
0.324300  0.318725 0.315025
0.305550  0.289575 0.279675
0.269950  
