2002.000000 / 5.000000 / 22.000000 --  17.000000 : 39.000000 : 38.347000 
d_mean_LS =================================== 
612.733074  300.543431  152.481176
76.300202  61.439591  30.482817
20.286025  15.232825  12.160608
66.349399  33.445641  16.726497
8.321297  6.663586  3.320108
2.212602  1.672792  1.329172
25.322599  12.678620  6.392544
3.192030  2.542861  1.269836
0.846169  0.636217  0.509367
d_mean_TLS =================================== 
376381.187100  189776.495736  117444.333762
40812.422489  43201.871596  17920.991987
17471.563039  12277.958593  9839.544701
55245.852050  28775.872715  9210.902775
3927.590752  5259.400837  2806.170614
685.152575  363.556601  255.566068
15601.891158  3206.715211  1427.173689
531.040832  482.241608  41.893952
12.747158  8.073774  11.215168
d_mean_MLS =================================== 
366705.840711  228046.895323 98273.959198
46778.024983  33205.484420 16833.319598
12618.518653  8865.417096 7362.084321
64547.927309  34913.820170 9755.783175
4280.558738  3943.039770 1866.388848
514.920570  697.800449 256.881985
5263.721608  3484.230459 1696.034638
98.935739  71.161269 3.313132
1.147607  0.752838 0.569151
d_std_LS =================================== 
373.322466  179.477389  91.773992
45.956082  37.518368  18.379876
12.200775  9.271876  7.323965
36.912741  18.412087  9.340021
4.582498  3.690747  1.846286
1.216023  0.931429  0.742584
9.320791  4.611591  2.333313
1.171530  0.922112  0.460513
0.308320  0.230818  0.186092
d_std_TLS =================================== 
4002748.521821  2285194.245032  1904643.974958
281594.057672  516202.478071  141286.416812
308775.907790  167512.532007  170943.891765
1237268.078670  921190.985358  94173.918868
41811.200963  162886.575903  156042.761410
10846.097708  4119.541028  4038.326034
553083.603711  22277.399476  9260.538292
9586.084559  19832.598652  339.984744
197.511483  146.994187  671.067873
d_std_MLS =================================== 
3100867.163430  3159501.733608 1108213.248583
390426.457585  329123.208394 147321.024373
176251.214794  77031.355906 92077.470824
2181516.203180  1671279.613987 179972.165071
45251.960840  88570.257903 56427.179820
3297.681747  35416.808661 4624.055865
90775.277747  146089.216908 121213.248842
1280.264401  1961.393209 22.300082
0.548646  0.302115 0.217538
BER_MF1 ===================================== 
0.461600  0.415900 0.345900
0.213400  0.160100 0.023000
0.002100  0.000100 0.000000
0.453000  0.419500 0.348800
0.236100  0.199800 0.117100
0.070500  0.035300 0.014600
0.466200  0.465000 0.489300
0.503600  0.501000 0.491400
0.496500  0.499800 0.503000
BER_DD1 ===================================== 
0.465000  0.435500 0.387500
0.285400  0.231900 0.072900
0.013200  0.001500 0.000000
0.469600  0.436400 0.376600
0.272500  0.228400 0.069500
0.013600  0.001200 0.000000
0.476100  0.441000 0.379500
0.281000  0.221800 0.072500
0.015500  0.001700 0.000100
BER_MF ====================================== 
0.459975  0.420225 0.344700
0.211400  0.157875 0.023325
0.001600  0.000050 0.000000
0.455350  0.423125 0.345300
0.241400  0.203225 0.115825
0.067150  0.035250 0.016750
0.468500  0.462150 0.492050
0.496975  0.500325 0.496400
0.501650  0.501125 0.500175
BER_DD ====================================== 
0.468025  0.438600 0.386275
0.278350  0.231475 0.070850
0.013225  0.001425 0.000150
0.469375  0.443550 0.382300
0.279125  0.232200 0.070825
0.013250  0.001300 0.000100
0.472275  0.441400 0.385200
0.279475  0.227925 0.072350
0.014400  0.001425 0.000100
BER_LS ====================================== 
0.466950  0.435625 0.379100
0.273275  0.220550 0.061425
0.010525  0.000875 0.000050
0.466800  0.439250 0.379325
0.270125  0.221275 0.062900
0.010500  0.000825 0.000125
0.470075  0.438275 0.378125
0.269800  0.221050 0.063725
0.010750  0.000925 0.000025
BER_TLS ===================================== 
0.496925  0.496475 0.494800
0.488450  0.491275 0.482325
0.470900  0.451425 0.448175
0.497825  0.492500 0.487575
0.479375  0.476650 0.448425
0.417775  0.375075 0.319600
0.486600  0.471650 0.451425
0.414175  0.396200 0.302300
0.196775  0.109575 0.049725
BER_MLS ===================================== 
0.498925  0.491725 0.499300
0.491625  0.490900 0.484200
0.466475  0.456950 0.450700
0.498625  0.496725 0.495125
0.488650  0.492575 0.466475
0.441500  0.396725 0.336600
0.497100  0.497625 0.495800
0.457325  0.421450 0.162125
0.026300  0.002525 0.000100
