2002.000000 / 5.000000 / 22.000000 --  5.000000 : 48.000000 : 51.531000 
d_mean_LS =================================== 
1925.709393  966.592507  486.722531
241.157347  190.950439  96.570604
63.212359  47.903347  38.331482
195.525533  99.424808  49.238694
24.450719  19.836764  9.810354
6.636585  4.917671  3.938313
44.111633  22.116100  11.038346
5.480839  4.390224  2.193456
1.459624  1.107905  0.881650
d_mean_TLS =================================== 
1960172.937501  1079153.648892  497859.737734
266145.193914  224426.324871  106203.988374
66624.792399  52033.837371  43950.208647
282101.113982  148427.645415  64234.768037
32932.302723  23470.396237  9424.393815
5143.530883  2462.754890  1628.019269
35931.974507  11735.823861  6392.045540
1046.547874  726.723971  100.222039
44.576275  36.241567  11.658292
d_mean_MLS =================================== 
2083421.064252  1111618.954726 541548.237958
271314.597864  213885.791395 102817.315293
66640.988108  52515.367762 39398.205859
276640.074420  128881.896287 73260.935388
32619.944749  28364.628655 9754.958090
5220.863184  2536.224121 2179.020359
28132.003607  12788.277291 3877.667992
953.631985  380.892588 98.400210
28.114518  23.224491 6.844286
d_std_LS =================================== 
1845.290101  883.497304  436.032598
223.068150  175.161804  92.553507
57.251614  44.253848  36.386107
167.805768  89.120410  44.652700
21.388255  18.280775  8.531575
5.854033  4.290628  3.449394
15.598342  7.801573  3.951406
1.959552  1.636148  0.808649
0.512548  0.415460  0.327468
d_std_TLS =================================== 
9944549.837075  5729282.743673  2074443.672943
1423026.260139  1272662.874148  565015.076785
320860.810110  274062.908331  241127.680635
3027402.928959  1862442.815388  646501.098708
433243.880726  279727.750899  93909.985160
69221.841552  29087.201583  26004.319397
493910.120878  89825.352054  135013.142803
12042.143131  10912.099246  911.086041
533.980444  1966.838308  269.554183
d_std_MLS =================================== 
11249414.983976  6511148.672693 2742540.939646
1464232.201842  1167553.947966 553509.830677
300914.645767  285465.141678 201406.377206
2212533.642361  1083744.087089 1155405.898567
391763.839994  470815.696163 114073.524659
88391.140371  35526.972801 49573.432577
426021.020938  251006.711238 86772.357877
31990.019914  4184.731703 1364.503602
442.977808  948.857429 79.898351
BER_MF1 ===================================== 
0.456400  0.416500 0.341100
0.208600  0.160100 0.023600
0.002000  0.000100 0.000000
0.461900  0.422500 0.346300
0.239200  0.202400 0.115000
0.067500  0.035700 0.015600
0.465200  0.468000 0.488900
0.493000  0.488800 0.498800
0.499600  0.500300 0.497800
BER_DD1 ===================================== 
0.467500  0.437300 0.383800
0.279000  0.230500 0.069000
0.015300  0.001600 0.000100
0.476000  0.443100 0.388700
0.281400  0.232600 0.071600
0.015600  0.002100 0.000100
0.472500  0.442900 0.390300
0.272000  0.229500 0.068500
0.013300  0.001600 0.000200
BER_MF ====================================== 
0.461311  0.417722 0.342589
0.212156  0.158900 0.024089
0.001489  0.000067 0.000000
0.459822  0.421767 0.349933
0.239800  0.203878 0.113500
0.065911  0.034556 0.016267
0.470344  0.464267 0.490600
0.499067  0.498667 0.501189
0.500556  0.499611 0.497244
BER_DD ====================================== 
0.471811  0.439367 0.382389
0.280822  0.228967 0.071811
0.014356  0.001767 0.000167
0.471311  0.438456 0.384744
0.278033  0.232833 0.070344
0.014289  0.001678 0.000078
0.473400  0.442667 0.381589
0.280733  0.230322 0.070089
0.013667  0.001556 0.000056
BER_LS ====================================== 
0.469656  0.437978 0.376567
0.272022  0.218144 0.061911
0.010633  0.001011 0.000033
0.470578  0.437467 0.379178
0.268100  0.222033 0.061233
0.010422  0.001078 0.000022
0.472200  0.439478 0.377467
0.268989  0.218967 0.060422
0.010289  0.000933 0.000044
BER_TLS ===================================== 
0.498467  0.498467 0.497556
0.495167  0.492444 0.488978
0.485044  0.474556 0.470578
0.498822  0.498156 0.495156
0.490711  0.492667 0.478233
0.459867  0.428322 0.392544
0.494944  0.489567 0.485122
0.465344  0.452211 0.352800
0.227533  0.118356 0.052078
BER_MLS ===================================== 
0.497856  0.499133 0.497978
0.496411  0.494933 0.488500
0.483756  0.475889 0.472144
0.500256  0.497478 0.496011
0.491711  0.494078 0.480356
0.464900  0.431367 0.395289
0.498189  0.499189 0.493233
0.472711  0.455422 0.305989
0.143456  0.053656 0.019122
