2002.000000 / 5.000000 / 22.000000 --  0.000000 : 25.000000 : 51.075000 
d_mean_LS =================================== 
22.508429  12.075613  7.472330
5.690363  5.401314  5.049137
4.915767  4.858791  4.909142
22.451097  12.176214  7.607279
5.842481  5.531123  5.066042
4.858373  4.678460  4.555841
26.264054  17.535251  12.730657
8.778754  7.644959  4.705887
3.260991  2.490402  1.911471
d_mean_TLS =================================== 
4442.775814  2897.306237  1607.391778
468.107009  457.605910  142.882883
83.411708  85.830704  97.264401
5552.896358  2108.070295  1114.743670
705.366989  396.180172  202.730606
102.682789  96.728210  85.230957
4231.244937  1927.234855  1738.020740
848.114662  919.322212  289.145392
125.901262  50.997513  19.061119
d_mean_MLS =================================== 
471.803454  175.269282 94.389437
75.467647  68.850678 82.050873
39.343026  60.732548 69.499948
410.200020  190.458990 207.809384
65.272509  74.227353 65.127593
52.522777  45.732390 87.491388
474.407747  264.789407 188.561810
71.734592  28.732437 6.162552
2.392355  1.739260 1.351997
d_std_LS =================================== 
7.278617  3.934880  2.683881
2.540198  2.456274  2.513135
2.524681  2.439277  2.509376
7.191154  3.926005  2.763110
2.503605  2.463239  2.533941
2.567847  2.603738  2.606105
8.238056  4.995883  3.659012
3.377621  3.254334  2.680995
2.126059  1.797816  1.364559
d_std_TLS =================================== 
35751.648365  48004.878863  32768.544855
3923.869677  7643.500051  3532.421783
893.032915  1488.726572  3214.587745
98044.868922  15264.688669  10046.210433
21342.668185  4944.095232  5315.309915
1339.550955  940.710371  2585.217454
32297.366066  25580.788018  60363.173017
10524.974366  23018.179933  3370.399911
1124.912947  700.750584  99.380562
d_std_MLS =================================== 
6199.416763  1273.509540 1150.156877
1206.531155  1048.097797 2800.053264
292.051517  1577.159482 3089.225991
7044.608961  1876.396590 10657.467716
705.941656  1499.875606 789.704515
1472.259682  634.965259 4379.872995
7008.942673  4600.463099 4288.408977
2501.322309  260.831086 116.490442
2.047919  1.161873 0.710503
BER_MF1 ===================================== 
0.473600  0.421700 0.349900
0.223900  0.158000 0.023900
0.001800  0.000000 0.000000
0.454900  0.415600 0.354700
0.236000  0.202900 0.116700
0.066900  0.039200 0.017600
0.473600  0.460700 0.495800
0.496600  0.500200 0.508100
0.498900  0.503000 0.501100
BER_DD1 ===================================== 
0.481000  0.441800 0.388300
0.285400  0.241000 0.070200
0.014500  0.001500 0.000200
0.461500  0.435700 0.387000
0.284100  0.229100 0.070000
0.015300  0.002200 0.000000
0.473200  0.435600 0.375900
0.282900  0.229700 0.070500
0.012800  0.001400 0.000100
BER_MF ====================================== 
0.461960  0.418180 0.346000
0.216480  0.159540 0.022820
0.001720  0.000080 0.000000
0.460700  0.421260 0.349740
0.237340  0.204040 0.116560
0.066360  0.035980 0.016360
0.463800  0.459100 0.491940
0.497340  0.497840 0.502360
0.498760  0.500660 0.501700
BER_DD ====================================== 
0.470480  0.438760 0.388840
0.281940  0.232000 0.070080
0.013960  0.001580 0.000140
0.470080  0.441740 0.384080
0.278120  0.229840 0.071060
0.013480  0.001840 0.000140
0.464660  0.437520 0.382260
0.281020  0.231200 0.072420
0.013080  0.001540 0.000140
BER_LS ====================================== 
0.464280  0.422220 0.349320
0.223200  0.166260 0.025860
0.002220  0.000140 0.000000
0.462280  0.424140 0.354780
0.243120  0.207160 0.107560
0.047680  0.018860 0.006940
0.465560  0.452720 0.453060
0.411680  0.384700 0.282900
0.187380  0.123280 0.074820
BER_TLS ===================================== 
0.477000  0.455360 0.413720
0.349120  0.321980 0.260260
0.225560  0.191120 0.161100
0.480280  0.454900 0.415000
0.356900  0.337000 0.289900
0.263420  0.242260 0.216860
0.476300  0.466620 0.454780
0.413640  0.396340 0.336680
0.306000  0.273120 0.236060
BER_MLS ===================================== 
0.488560  0.477260 0.452440
0.401260  0.382600 0.286360
0.222140  0.175980 0.147700
0.487160  0.473540 0.453240
0.412880  0.393640 0.331780
0.275620  0.221220 0.177640
0.488360  0.482020 0.464820
0.419200  0.393780 0.254140
0.150600  0.090960 0.052040
