2002.000000 / 5.000000 / 21.000000 --  22.000000 : 15.000000 : 53.084000 
d_mean_LS =================================== 
272.981027  136.288120  67.616164
34.222304  27.189317  13.668597
9.011594  6.743625  5.467045
29.710157  14.893600  7.471242
3.756732  2.963252  1.474187
0.997471  0.749918  0.597707
11.400904  5.697525  2.870211
1.429001  1.137354  0.568780
0.377081  0.285318  0.229684
d_mean_TLS =================================== 
76910.169156  26643.462983  15570.819598
18950.701643  5353.016299  2394.716591
1694.238290  1274.331428  1349.304300
5429.636674  2850.449698  1599.456171
976.285761  962.418253  258.189281
95.867529  52.816689  50.521172
1976.998960  1870.709799  662.800079
331.951077  606.917171  52.580563
70.423249  7.843130  1.561629
d_mean_MLS =================================== 
50215.059639  37734.596491 21692.948202
4657.190585  4157.229531 2159.178786
1756.258520  2414.599362 1342.370806
5221.251022  4875.252818 1602.316293
580.523014  349.718601 1875.255133
60.476223  32.366757 10.901783
565.393253  258.962439 47.708783
2.299430  1.504100 0.610877
0.389882  0.289913 0.232289
d_std_LS =================================== 
171.238321  84.857068  42.747856
21.459391  16.955158  8.646409
5.588566  4.213123  3.432219
18.236044  9.063924  4.458123
2.286863  1.800177  0.885289
0.604446  0.456342  0.364403
8.145387  4.063506  2.048230
1.013735  0.819801  0.407325
0.268093  0.204385  0.164054
d_std_TLS =================================== 
3728923.549062  1081716.085929  475678.590996
1069513.999309  124473.962719  65718.703176
45754.684669  35668.180154  48823.483603
98363.603111  74581.249812  60719.141249
48334.302164  42995.164191  11693.736399
1957.506047  895.179684  2513.466681
19241.152582  72268.360613  15444.817414
19694.802784  54214.299053  1387.637259
5778.208408  188.003495  18.084176
d_std_MLS =================================== 
1137258.442728  1389022.899795 1505828.728949
38304.589931  47946.215993 28203.639941
45644.396998  168743.615845 41742.169653
119203.675955  399620.297463 63927.576702
12879.597823  2996.706564 237176.203687
492.518468  387.677272 96.874446
16204.374400  11010.705301 958.215808
4.486866  0.973663 0.430093
0.273714  0.207006 0.165480
BER_MF1 ===================================== 
0.456350  0.422100 0.348950
0.217550  0.156100 0.024850
0.001600  0.000000 0.000000
0.463400  0.421050 0.346650
0.240700  0.201350 0.112500
0.062600  0.034600 0.015700
0.469000  0.453600 0.492900
0.500750  0.498750 0.498150
0.496500  0.499900 0.506850
BER_DD1 ===================================== 
0.474300  0.440900 0.387750
0.279050  0.230050 0.070200
0.014200  0.001150 0.000200
0.468050  0.442050 0.377500
0.278450  0.225350 0.073100
0.012800  0.001850 0.000150
0.464200  0.435950 0.389550
0.280850  0.233650 0.071550
0.013400  0.001300 0.000150
BER_MF ====================================== 
0.456350  0.422100 0.348950
0.217550  0.156100 0.024850
0.001600  0.000000 0.000000
0.463400  0.421050 0.346650
0.240700  0.201350 0.112500
0.062600  0.034600 0.015700
0.469000  0.453600 0.492900
0.500750  0.498750 0.498150
0.496500  0.499900 0.506850
BER_DD ====================================== 
0.474300  0.440900 0.387750
0.279050  0.230050 0.070200
0.014200  0.001150 0.000200
0.468050  0.442050 0.377500
0.278450  0.225350 0.073100
0.012800  0.001850 0.000150
0.464200  0.435950 0.389550
0.280850  0.233650 0.071550
0.013400  0.001300 0.000150
BER_LS ====================================== 
0.474300  0.440900 0.387750
0.279050  0.230050 0.070200
0.014200  0.001150 0.000200
0.468050  0.442050 0.377500
0.278450  0.225350 0.073100
0.012800  0.001850 0.000150
0.464200  0.435950 0.389550
0.280850  0.233650 0.071550
0.013400  0.001300 0.000150
BER_TLS ===================================== 
0.505350  0.501900 0.500900
0.486600  0.486300 0.463150
0.442750  0.415950 0.371950
0.488750  0.477500 0.468450
0.436100  0.418000 0.346150
0.272350  0.231550 0.208150
0.463550  0.436400 0.392700
0.311900  0.291900 0.256050
0.249250  0.216800 0.101500
BER_MLS ===================================== 
0.506850  0.502300 0.500200
0.488350  0.486400 0.462700
0.434650  0.402050 0.347800
0.498050  0.494600 0.493700
0.486250  0.483800 0.438700
0.334900  0.190900 0.069150
0.494750  0.491300 0.472650
0.334350  0.277650 0.081550
0.014950  0.001600 0.000050
