2002.000000 / 5.000000 / 22.000000 --  2.000000 : 41.000000 : 52.725000 
d_mean_LS =================================== 
1228.618815  622.511972  305.855680
152.914983  123.322275  61.420034
41.512426  30.516564  24.420087
127.298383  64.181608  31.790434
16.202225  12.823606  6.376161
4.285518  3.218992  2.542579
35.943123  18.030810  8.999821
4.510619  3.575160  1.792533
1.194488  0.897777  0.716583
d_mean_TLS =================================== 
1103337.035543  565755.960014  285517.405673
132055.587213  111323.483388  56208.039225
39493.466908  27430.396700  23259.771992
169628.784689  63101.152680  29170.970684
15381.317998  12538.953815  4785.156802
2744.795501  1567.961567  1852.764241
18266.550789  7897.603864  2525.579386
750.286262  743.991487  104.146747
26.632573  9.761887  8.899550
d_mean_MLS =================================== 
1188735.704509  534780.359954 302084.334235
148160.892579  112401.862975 56531.588723
32851.975450  27267.479758 20507.452981
168913.278170  68718.197119 42828.215108
12573.454807  9556.581948 4792.118440
1752.765784  1957.492046 924.928070
17166.754278  5778.995241 1580.637770
325.786937  327.544752 87.589624
11.695537  3.700793 2.025251
d_std_LS =================================== 
893.072973  470.745476  227.391200
110.507310  90.885547  44.115369
30.840020  22.452447  17.786968
87.478142  45.067036  22.202547
11.504548  9.017814  4.457909
2.992669  2.244445  1.773534
10.905739  5.518453  2.736332
1.358083  1.051163  0.535612
0.357464  0.265503  0.215690
d_std_TLS =================================== 
7157517.729148  3388510.041011  1956719.227206
818247.834996  754508.564232  444885.833571
304910.527696  204415.130073  200925.485887
1998547.304926  573207.749077  204932.704269
232122.216213  153475.204773  82051.666426
67801.827880  28905.781908  62056.644589
192658.424057  73385.558199  20717.513209
9335.524933  27986.634392  1423.464389
498.940905  208.802013  292.552599
d_std_MLS =================================== 
8931083.812781  3806089.916192 2527330.194828
1144336.699765  728679.878791 390983.557672
186092.803997  212376.292255 135082.810598
2560414.244509  774589.067596 686803.847633
171064.930694  65565.780505 73328.198031
11126.177425  64977.397550 15769.719023
517429.872068  95031.191472 38682.655801
2967.318420  11593.843139 4273.121627
211.369712  30.041249 26.085962
BER_MF1 ===================================== 
0.463800  0.417400 0.341200
0.212600  0.154200 0.023000
0.001700  0.000200 0.000000
0.459900  0.419100 0.343700
0.240600  0.201400 0.116900
0.061000  0.034400 0.017100
0.463500  0.468900 0.495700
0.502000  0.495800 0.496700
0.499900  0.504700 0.506700
BER_DD1 ===================================== 
0.475200  0.432800 0.384600
0.281100  0.232500 0.073700
0.013000  0.001900 0.000100
0.473300  0.441800 0.376200
0.278900  0.229000 0.070700
0.013400  0.001900 0.000200
0.478000  0.441600 0.387300
0.279200  0.222900 0.069800
0.014200  0.001900 0.000200
BER_MF ====================================== 
0.461800  0.417400 0.343643
0.211171  0.155629 0.024671
0.001557  0.000043 0.000000
0.461500  0.418814 0.348386
0.240171  0.201600 0.113971
0.064971  0.034586 0.016200
0.464271  0.463057 0.490500
0.499314  0.497514 0.498586
0.498743  0.499957 0.499729
BER_DD ====================================== 
0.471814  0.438871 0.387543
0.278771  0.230343 0.072100
0.012957  0.001629 0.000143
0.469271  0.438643 0.381957
0.277886  0.231000 0.071014
0.013314  0.001457 0.000143
0.467100  0.442114 0.382571
0.279900  0.231929 0.069414
0.014543  0.001657 0.000129
BER_LS ====================================== 
0.470100  0.437586 0.379457
0.269100  0.216586 0.062700
0.010200  0.001071 0.000071
0.468957  0.436486 0.375943
0.268129  0.219014 0.062829
0.010271  0.000971 0.000086
0.468957  0.441171 0.377986
0.270343  0.218600 0.059914
0.010557  0.001314 0.000071
BER_TLS ===================================== 
0.501200  0.498557 0.496500
0.493457  0.496471 0.488271
0.477086  0.476357 0.466857
0.496614  0.499429 0.493686
0.487971  0.490271 0.476114
0.451243  0.420343 0.377129
0.489257  0.485471 0.476114
0.456300  0.443700 0.341029
0.219743  0.109114 0.048086
BER_MLS ===================================== 
0.501300  0.498957 0.497557
0.494586  0.496043 0.486829
0.479800  0.479600 0.467471
0.497800  0.500200 0.496943
0.491929  0.494100 0.483686
0.458186  0.426657 0.382143
0.499514  0.496571 0.495414
0.472471  0.449871 0.269514
0.099043  0.024814 0.006500
