2002.000000 / 5.000000 / 22.000000 --  1.000000 : 49.000000 : 1.944000 
d_mean_LS =================================== 
27.749850  15.837686  10.696224
8.761073  8.549790  8.164057
8.084220  8.128771  8.022051
27.624960  15.774666  10.831988
9.024796  8.733715  8.226006
8.035925  7.873751  7.653249
32.149251  21.856526  16.591134
12.413996  11.211756  8.050944
6.568047  5.431025  4.457978
d_mean_TLS =================================== 
6046.221953  4370.486840  1342.356359
784.331762  444.901772  259.126331
190.675455  126.612362  118.918430
7628.693427  3250.471885  1365.290999
606.338100  446.356494  266.719266
141.761180  707.341388  132.459080
6467.143003  2458.589657  1606.312752
922.178742  961.218890  716.241514
280.381129  89.583702  68.495469
d_mean_MLS =================================== 
825.260392  303.328259 129.738349
91.851271  81.221993 68.449304
86.178845  66.989315 95.447044
991.516322  296.425797 138.335507
94.166845  63.733953 57.669227
409.106399  47.068987 72.420418
589.703978  652.066775 177.765186
81.205469  70.375148 16.654531
6.421581  3.541335 2.484462
d_std_LS =================================== 
7.756569  5.187151  4.854402
4.998584  5.198948  5.199734
5.128032  5.369889  5.185112
7.735223  5.158161  4.807993
5.184340  5.318495  5.300705
5.296428  5.466331  5.332043
8.610520  5.943673  5.144436
5.396744  5.390761  5.316623
5.308368  5.039709  4.471059
d_std_TLS =================================== 
59305.395318  110146.237080  12564.076381
11535.159958  5058.344202  8498.493276
8998.312201  1851.694014  2756.676542
95455.607746  35416.795510  9901.208384
6485.793348  3022.996167  5085.029200
1149.396263  55173.775015  1776.092284
100739.098505  28526.063870  20357.018934
6764.467695  19669.500389  22271.157265
7515.130959  879.893900  1474.161317
d_std_MLS =================================== 
21199.347341  5110.935206 1611.774168
868.124002  896.738826 848.180592
1401.923896  1001.125715 1953.065969
36261.680769  4789.895735 1105.179136
1508.275634  449.539309 413.106227
25329.294816  615.043727 1767.409159
6619.090695  29694.049847 1854.951726
970.891122  1341.813573 219.762507
57.449490  10.579825 3.625584
BER_MF1 ===================================== 
0.450500  0.423500 0.340600
0.211600  0.155600 0.024400
0.000900  0.000100 0.000000
0.456900  0.418400 0.356600
0.232000  0.202200 0.110000
0.065700  0.036200 0.017200
0.465600  0.461300 0.493100
0.501700  0.493500 0.492600
0.496800  0.503800 0.506400
BER_DD1 ===================================== 
0.472500  0.438500 0.383400
0.274200  0.229100 0.074500
0.013000  0.001800 0.000100
0.467600  0.435100 0.386200
0.275900  0.234500 0.074900
0.013700  0.000900 0.000200
0.474000  0.445400 0.379600
0.288300  0.233900 0.069400
0.012800  0.001700 0.000000
BER_MF ====================================== 
0.457886  0.419786 0.344043
0.211714  0.158457 0.024171
0.001786  0.000029 0.000000
0.458414  0.417743 0.349571
0.237286  0.202729 0.113600
0.066129  0.035329 0.016600
0.465243  0.458414 0.490114
0.500029  0.496429 0.498329
0.498486  0.498757 0.499286
BER_DD ====================================== 
0.471829  0.441057 0.383071
0.276229  0.230857 0.072157
0.014157  0.001757 0.000057
0.471871  0.439529 0.381357
0.276171  0.231071 0.072343
0.013971  0.001429 0.000143
0.473300  0.439786 0.380986
0.278614  0.232771 0.069943
0.014000  0.001729 0.000143
BER_LS ====================================== 
0.458829  0.423357 0.348129
0.218729  0.165086 0.027743
0.002229  0.000057 0.000000
0.459614  0.421057 0.351957
0.243100  0.206386 0.105371
0.049643  0.021014 0.008271
0.465986  0.452986 0.452857
0.419200  0.394514 0.307700
0.239286  0.180243 0.133229
BER_TLS ===================================== 
0.480829  0.456700 0.425057
0.369786  0.348229 0.287671
0.256600  0.217729 0.192800
0.480314  0.461529 0.426071
0.377886  0.357443 0.312929
0.290386  0.269643 0.249657
0.481686  0.470629 0.452986
0.422457  0.404529 0.364186
0.341514  0.313500 0.288029
BER_MLS ===================================== 
0.489600  0.479714 0.455171
0.416386  0.395786 0.305786
0.245271  0.197471 0.170514
0.487629  0.476900 0.458943
0.424343  0.410557 0.351014
0.298757  0.250429 0.210957
0.489300  0.482886 0.469671
0.436614  0.412829 0.309000
0.212314  0.145486 0.098800
