2002.000000 / 5.000000 / 22.000000 --  2.000000 : 43.000000 : 51.125000 
d_mean_LS =================================== 
16.691309  8.722162  5.028292
3.516034  3.257597  2.932697
2.869659  2.844035  2.826345
16.785368  8.793066  5.141301
3.647267  3.401552  2.943399
2.733172  2.548785  2.364448
19.594957  12.903717  9.001606
5.490016  4.549365  2.325504
1.486648  1.066023  0.830817
d_mean_TLS =================================== 
3664.045557  1630.816264  874.229879
444.958699  262.795175  92.032885
102.927764  44.170868  32.368216
4630.759443  1620.692756  720.660628
321.511837  284.086960  94.730929
110.064121  169.720003  51.277344
4615.578104  1280.383474  738.975603
502.268520  629.910209  177.853490
60.542144  111.334690  13.675312
d_mean_MLS =================================== 
237.468336  119.321145 70.849923
36.571914  63.308172 36.572179
31.365720  58.403858 48.233388
246.035133  240.484940 89.304754
80.934697  52.607651 38.418658
121.324911  23.878442 17.159516
339.049242  153.312258 91.763300
19.741674  17.589192 2.022770
1.293878  0.958045 0.764100
d_std_LS =================================== 
6.990861  3.577111  1.964061
1.382305  1.283734  1.196060
1.179710  1.174349  1.169871
7.007982  3.570556  2.020642
1.425634  1.353271  1.247412
1.240988  1.230677  1.204594
7.995779  4.752755  3.092973
2.292963  2.015092  1.173488
0.777682  0.560113  0.426364
d_std_TLS =================================== 
72057.105643  20717.095821  20752.609170
11936.444898  4571.469866  1247.665468
4499.239562  1018.146239  404.525922
124598.760309  24729.220974  6209.048033
3840.308502  5619.523824  1115.162805
3616.292735  15206.557478  1236.343028
121288.804267  18130.090085  13642.121743
5657.638238  21491.981305  2434.670186
764.050263  10466.465945  127.026930
d_std_MLS =================================== 
4264.240956  2222.999188 1223.222575
447.003236  3336.639660 1224.185985
398.400207  4534.522496 1986.665461
4662.663453  18443.039174 1544.579970
3237.651097  1833.791473 795.901844
13511.380898  353.114095 256.895286
6870.279959  2100.533395 2094.480707
371.632945  603.999527 1.069177
0.640771  0.474173 0.375281
BER_MF1 ===================================== 
0.461400  0.428400 0.347800
0.211550  0.162600 0.021650
0.001250  0.000000 0.000000
0.462300  0.421250 0.348300
0.235600  0.204800 0.113800
0.068950  0.034700 0.016750
0.470150  0.459700 0.488700
0.499700  0.492950 0.499000
0.498750  0.498400 0.506950
BER_DD1 ===================================== 
0.472800  0.446050 0.383850
0.277900  0.235750 0.070750
0.014200  0.001400 0.000250
0.469750  0.443950 0.385100
0.277350  0.232350 0.068850
0.013500  0.001750 0.000150
0.474450  0.440400 0.386900
0.272350  0.231500 0.071050
0.013350  0.002050 0.000100
BER_MF ====================================== 
0.459050  0.423867 0.345367
0.209017  0.160683 0.022750
0.001400  0.000050 0.000000
0.459850  0.420950 0.348300
0.236783  0.203767 0.114700
0.066100  0.035383 0.016350
0.467567  0.462767 0.489633
0.500567  0.498017 0.501300
0.502467  0.496417 0.499433
BER_DD ====================================== 
0.469967  0.443317 0.385050
0.277800  0.233050 0.071500
0.014033  0.001800 0.000217
0.470300  0.440683 0.383950
0.278800  0.232167 0.070567
0.013433  0.001700 0.000100
0.474083  0.443267 0.385033
0.275450  0.231500 0.070300
0.013783  0.001833 0.000067
BER_LS ====================================== 
0.460467  0.425917 0.348983
0.216967  0.166983 0.026083
0.001817  0.000167 0.000000
0.462650  0.422500 0.352717
0.242800  0.207250 0.103433
0.045517  0.015750 0.004450
0.469400  0.458733 0.447450
0.399050  0.363883 0.221067
0.114783  0.054433 0.025200
BER_TLS ===================================== 
0.469967  0.447617 0.392567
0.313367  0.285367 0.208800
0.172733  0.148450 0.121683
0.468817  0.444267 0.397300
0.324683  0.303400 0.246033
0.216100  0.193150 0.170967
0.478333  0.465283 0.443017
0.395633  0.372433 0.298950
0.262250  0.225067 0.181583
BER_MLS ===================================== 
0.487000  0.472533 0.441350
0.384767  0.359333 0.253767
0.185600  0.146067 0.123217
0.485017  0.468250 0.441833
0.393483  0.376700 0.304133
0.240983  0.179867 0.126833
0.485950  0.480450 0.455617
0.391083  0.353133 0.193433
0.096283  0.045833 0.020467
