2002.000000 / 5.000000 / 21.000000 --  22.000000 : 54.000000 : 33.677000 
d_mean_LS =================================== 
778.981290  387.362948  193.631754
96.560830  77.265632  38.868064
25.781385  19.216844  15.564602
83.280466  41.232723  20.629353
10.435275  8.354138  4.151825
2.786361  2.097729  1.659218
29.168424  14.540554  7.245079
3.599161  2.887181  1.449123
0.962559  0.723934  0.580402
d_mean_TLS =================================== 
576751.272994  278880.777488  147062.040860
74049.365245  55525.644807  30647.660023
18491.027227  15990.223982  11384.022911
64334.763244  33668.244544  14353.770221
9955.921934  5183.684504  2022.140013
931.109330  596.633911  497.499094
11667.713566  4714.698142  2036.720460
736.170423  519.255222  47.125108
12.075136  5.022919  9.785052
d_mean_MLS =================================== 
522300.596812  305868.867120 133541.812048
92200.663166  50567.133085 24892.289218
15821.547111  15244.464494 9627.745356
77322.553132  22751.786776 13707.353201
5088.350118  4197.637589 1994.102476
860.000504  519.180253 647.312683
9749.928312  2488.707575 1665.642785
149.333312  147.344356 11.565633
2.072663  1.031716 0.727751
d_std_LS =================================== 
495.937460  242.357688  119.587903
61.661673  48.495494  24.432080
16.313006  12.178247  9.950047
48.411094  23.774310  11.807418
6.128428  4.875378  2.383703
1.613401  1.226518  0.959189
9.665264  4.801125  2.379690
1.185963  0.944776  0.480418
0.316811  0.238430  0.190568
d_std_TLS =================================== 
4805452.757778  2641163.806806  1674584.841341
863942.933766  549085.871461  317985.853826
160531.897801  156593.154361  121510.294224
798355.639753  447652.831382  193769.244721
208816.298780  52831.065259  27734.495436
6987.240877  8856.156001  9140.807951
110244.111057  37359.182844  21459.812491
11608.529911  17347.818462  311.658913
96.482098  24.920366  648.289139
d_std_MLS =================================== 
4393105.683436  3515935.106425 1147497.653792
1049761.308567  413629.680187 240259.903982
110077.716522  152999.892877 63330.531561
1224061.762533  134632.733241 139484.966039
27990.074676  24742.534158 21497.692451
8205.185537  5536.833321 29137.495355
308125.576307  25040.473131 83755.996989
1511.170654  4078.000410 213.382668
8.143112  0.955762 0.345958
BER_MF1 ===================================== 
0.465600  0.421000 0.342200
0.210400  0.154300 0.023300
0.001800  0.000000 0.000000
0.457400  0.425900 0.346000
0.234700  0.205900 0.107900
0.069600  0.033500 0.017100
0.464100  0.462700 0.493900
0.495800  0.497500 0.499700
0.497500  0.497000 0.493600
BER_DD1 ===================================== 
0.477600  0.438400 0.379300
0.281000  0.225900 0.071800
0.012600  0.001300 0.000200
0.476400  0.443100 0.383900
0.279500  0.231800 0.070500
0.014700  0.001600 0.000300
0.467800  0.439100 0.387100
0.283200  0.237600 0.066800
0.015000  0.001700 0.000200
BER_MF ====================================== 
0.464840  0.420160 0.343900
0.211600  0.155760 0.023240
0.001900  0.000060 0.000000
0.460100  0.423680 0.350200
0.238260  0.204720 0.111720
0.064180  0.034680 0.016380
0.468640  0.465500 0.491400
0.499180  0.495200 0.500600
0.500280  0.499920 0.500720
BER_DD ====================================== 
0.476520  0.440780 0.383100
0.278220  0.228260 0.072740
0.013380  0.001760 0.000140
0.475780  0.442000 0.384500
0.276540  0.232060 0.070280
0.014040  0.001860 0.000160
0.467320  0.442780 0.383880
0.277220  0.231460 0.069600
0.013880  0.001580 0.000120
BER_LS ====================================== 
0.474760  0.437000 0.380360
0.268320  0.217720 0.063280
0.010360  0.001060 0.000100
0.473500  0.440120 0.380000
0.268420  0.219180 0.061780
0.010480  0.001220 0.000080
0.467700  0.440560 0.377840
0.266060  0.221180 0.060580
0.010380  0.001060 0.000080
BER_TLS ===================================== 
0.499080  0.497320 0.499320
0.491880  0.489320 0.485960
0.473900  0.465160 0.457160
0.497300  0.497600 0.493140
0.488560  0.487220 0.464420
0.436480  0.396280 0.345560
0.489100  0.476500 0.463040
0.433820  0.418820 0.314600
0.206480  0.110820 0.044200
BER_MLS ===================================== 
0.501160  0.497240 0.500980
0.491100  0.492540 0.484820
0.475460  0.467580 0.461280
0.498060  0.498920 0.493000
0.496060  0.491060 0.476200
0.451300  0.416240 0.356260
0.499300  0.495020 0.491500
0.465020  0.440060 0.201560
0.045420  0.005320 0.000420
