2002.000000 / 5.000000 / 22.000000 --  21.000000 : 20.000000 : 51.071000 
d_mean_LS =================================== 
1.502983  1.501193  1.494627
1.485411  1.468027  1.462747
1.402252  1.338328  1.271802
1.205403  1.128206  1.081511
0.984293  d_mean_TLS =================================== 
28.770803  40.401645  38.467962
39.087291  42.232494  49.864527
47.062573  66.748286  59.053387
73.799101  62.904436  72.725326
137.886730  d_mean_MLS =================================== 
18.476556  16.520159 14.572828
18.437923  14.727041 20.416370
13.555980  15.895773 7.690074
4.264736  16.892053 2.743842
1.270684  d_std_LS =================================== 
0.469247  0.470695  0.492410
0.522721  0.548395  0.578660
0.621400  0.639187  0.639463
0.628278  0.599825  0.592866
0.580638  d_std_TLS =================================== 
680.090528  1246.326451  1124.737744
1009.779190  649.253455  774.442442
715.801364  1261.401309  749.979337
1427.938587  902.432440  1083.609489
6620.881993  d_std_MLS =================================== 
360.716507  348.774283 245.985738
389.013348  513.297771 1158.774537
351.040896  1086.233987 198.025817
42.235775  1664.388847 85.548161
7.749798  BER_MF1 ===================================== 
0.023650  0.026550 0.037700
0.055950  0.079350 0.111950
0.223950  0.347900 0.436100
0.482200  0.495850 0.502650
0.501300  BER_DD1 ===================================== 
0.068800  0.072300 0.072350
0.072850  0.073600 0.072650
0.069550  0.072150 0.071850
0.071100  0.065650 0.069750
0.071900  BER_MF ====================================== 
0.023650  0.026550 0.037700
0.055950  0.079350 0.111950
0.223950  0.347900 0.436100
0.482200  0.495850 0.502650
0.501300  BER_DD ====================================== 
0.068800  0.072300 0.072350
0.072850  0.073600 0.072650
0.069550  0.072150 0.071850
0.071100  0.065650 0.069750
0.071900  BER_LS ====================================== 
0.029400  0.031900 0.042800
0.062150  0.081750 0.099800
0.147200  0.176700 0.183250
0.186600  0.174200 0.176350
0.165250  BER_TLS ===================================== 
0.059900  0.060150 0.070500
0.090150  0.112300 0.128150
0.166700  0.200700 0.214200
0.217450  0.212500 0.216950
0.226300  BER_MLS ===================================== 
0.199800  0.196950 0.208650
0.226050  0.248250 0.257600
0.258300  0.251600 0.225850
0.216200  0.197300 0.186450
0.175000  
