2002.000000 / 5.000000 / 22.000000 --  6.000000 : 32.000000 : 50.822000 
d_mean_LS =================================== 
33.632855  20.841628  15.732087
13.751033  13.306776  13.169746
13.073849  13.071899  12.833740
33.568079  20.970128  15.642000
13.851233  13.716685  13.099631
13.006547  12.892259  12.486653
38.447317  27.337919  21.702405
17.427196  16.117122  13.343782
11.334982  10.295301  9.486680
d_mean_TLS =================================== 
8945.558477  4954.886823  2516.373329
1150.429580  854.166580  296.284021
222.383250  115.726357  143.237792
8742.782680  6241.313882  2292.987338
1803.464932  682.602827  369.144706
240.235325  211.139783  152.445650
9003.970463  4637.339799  1498.600684
1270.705544  1278.305047  488.611699
358.357386  182.935266  122.096616
d_mean_MLS =================================== 
679.643917  442.960004 183.326531
144.302964  465.932588 303.817605
77.820755  82.608682 160.447566
1074.607635  653.807689 287.096985
106.610152  148.173589 101.993319
105.677546  71.067677 145.234510
744.329671  933.783268 363.583924
142.523763  104.361992 132.661780
36.354605  24.279231 11.565766
d_std_LS =================================== 
10.518319  10.193000  11.145608
10.821700  10.578115  11.479868
11.181869  11.672722  10.714021
10.602559  10.148944  10.595568
10.756875  11.268609  10.872911
10.885873  11.320483  10.795579
11.002253  10.117078  9.922354
10.541816  10.299217  11.411560
10.910447  11.084001  11.283327
d_std_TLS =================================== 
141093.967256  90936.554776  37625.345850
22114.387562  15964.310579  5558.974948
4040.684729  1230.589673  2056.701359
72343.782604  109726.855299  45677.890285
87734.921923  10113.205403  10207.008161
3361.190225  4992.416816  1771.262667
120790.952507  74793.538582  10032.976120
12967.282460  18323.254643  3809.310301
7985.491808  2543.226286  2002.240373
d_std_MLS =================================== 
10120.566141  7240.732807 3217.260517
3583.198457  35469.218745 22112.997121
1009.521067  1019.764427 7042.430641
32668.164892  24790.478343 6714.593651
1122.723559  3378.939946 1466.584858
2066.267498  504.304196 8382.191196
6750.324204  33937.983334 11713.227135
1914.739217  2104.759844 8532.681487
1181.894399  1351.937119 226.084641
BER_MF1 ===================================== 
0.458200  0.422800 0.346400
0.216200  0.160600 0.022400
0.001200  0.000000 0.000000
0.465200  0.427500 0.354500
0.238800  0.202600 0.114700
0.071000  0.033300 0.017300
0.466200  0.465800 0.490700
0.493000  0.488800 0.498800
0.499600  0.500300 0.497800
BER_DD1 ===================================== 
0.470300  0.440800 0.383700
0.275800  0.234600 0.072000
0.012800  0.000800 0.000000
0.471300  0.443500 0.386300
0.283200  0.232200 0.073300
0.012500  0.001300 0.000200
0.471500  0.446500 0.391100
0.279600  0.229100 0.071100
0.015700  0.002100 0.000200
BER_MF ====================================== 
0.462656  0.422922 0.344922
0.213967  0.158933 0.023489
0.001833  0.000044 0.000000
0.460944  0.423233 0.348722
0.239378  0.200644 0.116044
0.066489  0.033589 0.017111
0.467456  0.464400 0.490489
0.499044  0.498667 0.501189
0.500556  0.499611 0.497244
BER_DD ====================================== 
0.471278  0.441111 0.383444
0.277844  0.231378 0.071522
0.013989  0.001311 0.000100
0.470133  0.439989 0.386478
0.280444  0.228722 0.073789
0.014356  0.001478 0.000133
0.473256  0.441289 0.386022
0.277178  0.231467 0.069611
0.013800  0.001767 0.000100
BER_LS ====================================== 
0.461467  0.422067 0.348989
0.219067  0.164689 0.026811
0.002056  0.000022 0.000000
0.461700  0.424944 0.353289
0.243689  0.204844 0.107044
0.050978  0.020778 0.009089
0.467456  0.457911 0.454744
0.420100  0.402178 0.323633
0.264778  0.215133 0.176100
BER_TLS ===================================== 
0.482000  0.463933 0.432522
0.382189  0.361500 0.307456
0.274122  0.242378 0.213000
0.479178  0.465444 0.433056
0.388656  0.373333 0.335100
0.310144  0.290489 0.274611
0.486322  0.475167 0.460222
0.429489  0.416289 0.377400
0.355244  0.339511 0.321444
BER_MLS ===================================== 
0.490144  0.480467 0.462400
0.426167  0.407189 0.326078
0.261789  0.214544 0.183778
0.490033  0.485133 0.464322
0.433367  0.415989 0.365511
0.317556  0.274689 0.232956
0.490711  0.486578 0.474278
0.443489  0.427622 0.344778
0.264722  0.201333 0.158867
