2002.000000 / 5.000000 / 22.000000 --  21.000000 : 38.000000 : 14.229000 
d_mean_LS =================================== 
30.636654  15.233585  7.677858
5.174428  4.061615  3.310095
2.413746  2.012647  1.768489
1.638068  1.535486  1.475127
1.393434  d_mean_TLS =================================== 
25814.372572  10538.813562  3356.445619
2706.644853  1859.681664  1638.471050
1077.486068  558.385011  359.697888
245.471174  191.013228  339.213649
125.270358  d_mean_MLS =================================== 
16220.519655  8675.273780 4858.406553
3393.514626  1631.899328 2950.199463
657.744865  1242.569252 195.187101
250.442060  120.561145 81.130759
44.760312  d_std_LS =================================== 
18.666123  9.263126  4.508077
2.965549  2.305745  1.800226
1.218309  0.958691  0.773428
0.681898  0.613148  0.581583
0.532287  d_std_TLS =================================== 
379440.242374  178005.351991  21240.612829
30863.551497  24499.865074  30872.347269
28148.316784  13173.424342  8754.099187
4361.466336  2225.358583  14455.337919
1915.611049  d_std_MLS =================================== 
140107.140115  110612.242544 56303.299433
75204.085031  15555.739554 134876.911117
10867.724372  42292.706442 1882.900034
7656.534265  1954.414714 1048.431924
570.997134  BER_MF1 ===================================== 
0.022700  0.027200 0.034900
0.048800  0.080500 0.117700
0.223600  0.347800 0.432300
0.479400  0.494900 0.502500
0.513000  BER_DD1 ===================================== 
0.069300  0.067100 0.072200
0.068700  0.066300 0.067900
0.072900  0.069300 0.068500
0.073100  0.063900 0.073400
0.067800  BER_MF ====================================== 
0.021825  0.026950 0.036700
0.052550  0.082575 0.116250
0.226625  0.345375 0.433825
0.475575  0.496200 0.495800
0.501900  BER_DD ====================================== 
0.068000  0.069875 0.070250
0.069600  0.071425 0.068550
0.071700  0.069925 0.071825
0.071950  0.069025 0.072150
0.071075  BER_LS ====================================== 
0.059925  0.061975 0.062800
0.061650  0.063650 0.061875
0.063550  0.061950 0.062625
0.063300  0.061275 0.063875
0.063075  BER_TLS ===================================== 
0.478050  0.476000 0.472200
0.464150  0.458575 0.448650
0.430200  0.416075 0.405200
0.391000  0.383450 0.375400
0.359275  BER_MLS ===================================== 
0.479375  0.478625 0.476750
0.468700  0.472850 0.471450
0.460250  0.451250 0.438775
0.425025  0.409175 0.388525
0.346125  
